Date,Batch,Sample,Treatment,Colony,OA,DHBA,DA,TYR,SER,Buffer
29-Jul,A1,1,LS,6,177615820,382603356,1959134745,39755699,315889818,1
29-Jul,A1,2,CTRL,9,221823898,395830608,5988314114,48580654,391813837,1
29-Jul,A1,3,OA,3,615877963,393167737,3016957744,17731115,29535892,1
29-Jul,A1,4,LSOA,20,2660185302,509296238,3213443053,52206082,21489179,1
29-Jul,A,5,standard_1,STD,0,404237994,0,0,0,1
29-Jul,A,6,standard_2,STD,49224150,391200857,112290634,102533364,70893991,1
29-Jul,A,7,standard_3,STD,80420576,395615137,185706229,144526050,112573801,1
29-Jul,A,8,standard_4,STD,149593436,385349729,316381746,216352240,177993841,1
29-Jul,A,9,standard_5,STD,213073562,394143059,451616722,296099926,237697428,1
29-Jul,A2,10,LS,6,188351395,400731232,7502596636,45820695,411756907,1
29-Jul,A2,11,CTRL,9,731596016,436629631,3363128409,21712764,376405064,1
29-Jul,A2,12,OA,3,400232132,393528617,2694467446,36973449,359568664,1
29-Jul,A2,13,LSOA,20,1795184651,379809738,3128891830,29667712,361507692,1
29-Jul,B1,1,LS,6,NA,NA,3894137000,9916976,403609300,1
29-Jul,B1,2,CTRL,9,242048819,409088762,3489937810,50830448,948820725,1
29-Jul,B1,3,OA,3,2431471194,429444772,4017483908,19520002,3147243741,1
29-Jul,B1,4,LSOA,20,391746129,412546250,2306156907,16183315,1125465128,1
29-Jul,B,5,standard_1,STD,0,405130390,0,0,0,1
29-Jul,B,6,standard_2,STD,45537019,400123975,111708452,99257965,69809873,1
29-Jul,B,7,standard_3,STD,77062845,386708195,178333733,143330244,96027158,1
29-Jul,B,8,standard_4,STD,144895067,393128512,310869586,211821639,160432786,1
29-Jul,B,9,standard_5,STD,204969892,398132725,463437183,283402999,245896214,1
29-Jul,B2,10,LS,6,228645546,367163734,3848756384,32347385,712422806,1
29-Jul,B2,11,CTRL,9,369386672,404656436,4343463315,23510712,1358472079,1
29-Jul,B2,12,OA,3,1507855656,400784669,5220817543,9381692,2084194492,1
29-Jul,B2,13,LSOA,20,1781612488,463919349,4649099508,NA,2570866780,1
30-Jul,C1,1,LS,6,NA,NA,NA,NA,NA,2
30-Jul,C1,2,CTRL,9,119550457,363790518,3457725456,NA,470100461,2
30-Jul,C1,3,OA,3,589018583,371655612,5179133904,NA,1075593010,2
30-Jul,C1,4,LSOA,20,158853006,377292801,3113793835,NA,457080204,2
30-Jul,C,5,standard_1,STD,0,490118382,0,0,0,2
30-Jul,C,6,standard_2,STD,45768501,400273575,114185176,NA,NA,2
30-Jul,C,7,standard_3,STD,78200342,395140589,185893599,NA,121239851,2
30-Jul,C,8,standard_4,STD,144922891,393197979,332660887,NA,NA,2
30-Jul,C,9,standard_5,STD,207900704,393024543,482845953,NA,266208406,2
30-Jul,C2,10,LS,6,88856400,374509757,4314712330,NA,704185658,2
30-Jul,C2,11,CTRL,9,120020402,418325632,4332912747,NA,854207183,2
30-Jul,C2,12,OA,3,292823177,416217528,3497600254,NA,619529603,2
30-Jul,C2,13,LSOA,20,107076052,380541213,4923239100,NA,549461696,2
30-Jul,D1,1,LS,6,82102325,388425900,3870969116,NA,363762982,2
30-Jul,D1,2,CTRL,9,NA,436022452,2064507716,NA,1423663791,2
30-Jul,D1,3,OA,3,269483765,376085449,5391785596,23896442,579320496,2
30-Jul,D1,4,LSOA,20,132811284,380774591,3423320873,NA,569674813,2
30-Jul,D,5,standard_1,STD,0,403644149,0,0,0,2
