region,subcolony,assay,neutral,avoidance,pheidole_avoidance,proactive_attack,reactive_attack,chemicals,pheidole_attack,fight,spasm,phase,treatment
AR,6,1,0,5,1,0,0,0,3,0,0,treatment,OA
AR,6,2,2,2,1,0,0,0,1,0,0,treatment,OA
AR,6,3,0,1,0,0,1,0,2,1,0,treatment,OA
AR,6,4,4,1,1,0,0,0,3,0,0,treatment,OA
AR,6,5,4,5,1,0,1,0,5,0,0,treatment,OA
AR,6,6,1,1,2,2,0,2,1,0,1,treatment,OA
AR,6,7,0,0,1,2,0,0,1,1,0,treatment,OA
AR,6,8,1,4,4,1,1,3,2,0,0,treatment,OA
AR,25,1,1,3,1,3,1,2,5,1,0,treatment,OA_low_sugar
AR,25,2,2,1,0,1,2,1,3,2,0,treatment,OA_low_sugar
AR,25,3,0,0,4,4,0,1,0,1,0,treatment,OA_low_sugar
AR,25,4,4,2,0,0,0,0,0,0,0,treatment,OA_low_sugar
AR,25,5,0,2,1,1,0,2,3,0,0,treatment,OA_low_sugar
AR,25,6,0,5,6,3,0,1,0,0,0,treatment,OA_low_sugar
AR,25,7,2,2,2,5,2,1,8,1,0,treatment,OA_low_sugar
AR,25,8,0,4,2,0,0,5,4,0,0,treatment,OA_low_sugar
AR,10,1,0,4,1,0,0,1,1,0,0,treatment,OA
AR,10,2,1,5,4,1,0,1,2,0,0,treatment,OA
AR,10,3,1,3,0,0,0,0,2,0,0,treatment,OA
AR,10,4,1,3,3,1,1,3,5,0,1,treatment,OA
AR,10,5,1,1,2,0,1,2,4,0,0,treatment,OA
AR,10,6,0,1,6,3,1,6,4,1,0,treatment,OA
AR,10,7,0,6,0,0,0,2,6,0,0,treatment,OA
AR,10,8,2,2,0,0,0,1,2,0,0,treatment,OA
AR,29,1,0,0,0,0,1,0,1,1,0,treatment,OA_low_sugar
AR,29,2,1,2,1,0,0,1,3,0,0,treatment,OA_low_sugar
AR,29,3,0,1,1,0,0,2,1,0,0,treatment,OA_low_sugar
AR,29,4,0,3,0,0,1,0,3,0,0,treatment,OA_low_sugar
AR,29,5,1,0,3,2,2,1,4,1,0,treatment,OA_low_sugar
AR,29,6,0,3,2,1,1,0,5,0,1,treatment,OA_low_sugar
AR,29,7,1,1,0,0,0,0,1,0,0,treatment,OA_low_sugar
AR,29,8,1,4,3,1,1,2,3,0,0,treatment,OA_low_sugar
