subcolony,region,site,sugar,octopamine,treatment,phase,day,temperature,initial_for,n_0,n_10,n_20,n_30,n_40,n_50,n_60,cov_0,cov_10,cov_20,cov_30,cov_40,cov_50,cov_60,time_top,sug_0,sug_10,sug_20,sug_30,sug_40,sug_50,sug_60
1,AR,OTA,low,no,low_sugar,acclimation,1,24.0,32,0,17,28,39,32,27,24,0,2,8,8,7,8,9,20,0,0,0,0,0,0,0
2,AR,VLO,high,yes,OA,acclimation,1,24.0,36,0,3,23,10,33,21,27,0,1,3,3,4,6,6,40,0,0,0,0,0,0,0
3,AR,VLO,low,no,low_sugar,acclimation,1,24.0,77,0,11,24,19,20,10,8,0,1,6,3,9,7,4,10,0,0,0,0,0,0,0
4,AR,UBA,high,yes,OA,acclimation,1,24.0,24,0,6,7,22,8,11,6,0,2,0,1,0,3,3,10,0,0,0,0,0,0,0
5,AR,UBA,low,no,low_sugar,acclimation,1,24.0,57,0,8,13,22,17,13,15,0,2,1,3,4,1,4,40,0,0,0,0,0,0,0
6,AR,ROS,high,yes,OA,acclimation,1,24.0,64,0,5,6,12,21,12,12,0,1,1,2,3,2,3,30,0,0,0,0,0,0,0
7,AR,ROS,low,no,low_sugar,acclimation,1,24.0,49,0,8,7,10,11,15,9,0,4,1,5,2,5,5,30,0,0,0,0,0,0,0
8,AR,OTA,high,yes,OA,acclimation,1,24.0,50,0,27,25,31,25,24,18,0,3,4,10,9,7,7,10,0,0,0,0,0,0,0
9,AR,ROS,low,no,low_sugar,acclimation,1,24.0,39,0,3,3,13,12,3,11,0,1,0,4,5,3,3,30,0,0,0,0,0,0,0
10,AR,OTA,high,yes,OA,acclimation,1,24.0,29,0,47,41,35,32,22,17,0,11,6,7,8,4,6,10,0,0,0,0,0,0,0
11,AR,UBA,low,no,low_sugar,acclimation,1,24.0,27,0,34,30,21,16,9,10,0,1,4,4,4,3,4,10,0,0,0,0,0,0,0
12,AR,ROS,high,yes,OA,acclimation,1,24.0,77,0,6,5,13,14,7,7,0,2,2,3,1,1,3,10,0,0,0,0,0,0,0
13,AR,VLO,low,no,low_sugar,acclimation,1,24.0,29,0,24,18,13,23,18,16,0,3,5,1,3,8,5,10,0,0,0,0,0,0,0
14,AR,UBA,high,yes,OA,acclimation,1,24.0,39,0,38,10,16,22,17,8,0,4,2,4,3,2,2,10,0,0,0,0,0,0,0
15,AR,OTA,low,no,low_sugar,acclimation,1,24.0,23,0,20,18,12,6,13,8,0,2,5,5,7,5,9,10,0,0,0,0,0,0,0
16,AR,VLO,high,yes,OA,acclimation,1,24.0,55,0,9,17,21,25,20,17,0,0,4,4,2,4,3,30,0,0,0,0,0,0,0
17,AR,UBA,low,yes,OA_low_sugar,acclimation,1,24.0,33,0,7,25,20,5,13,16,0,2,6,6,3,7,4,20,0,0,0,0,0,0,0
18,AR,ROS,high,no,control,acclimation,1,24.0,87,0,1,11,12,9,12,12,0,1,3,3,3,4,3,20,0,0,0,0,0,0,0
19,AR,ROS,low,yes,OA_low_sugar,acclimation,1,24.0,59,0,1,5,11,4,12,10,0,1,3,3,2,4,2,20,0,0,0,0,0,0,0
20,AR,OTA,high,no,control,acclimation,1,24.0,41,0,6,19,17,22,21,18,0,0,4,3,6,8,7,40,0,0,0,0,0,0,0
21,AR,OTA,low,yes,OA_low_sugar,acclimation,1,24.0,23,0,15,17,17,26,22,25,0,3,5,7,10,6,6,10,0,0,0,0,0,0,0
22,AR,VLO,high,no,control,acclimation,1,24.0,43,0,2,15,20,17,11,13,0,0,1,4,3,4,5,40,0,0,0,0,0,0,0
23,AR,VLO,low,yes,OA_low_sugar,acclimation,1,24.0,39,0,0,10,5,9,13,17,0,1,2,5,5,3,6,40,0,0,0,0,0,0,0
24,AR,UBA,high,no,control,acclimation,1,24.0,31,0,15,15,13,22,15,10,0,1,7,3,5,1,2,20,0,0,0,0,0,0,0
25,AR,VLO,low,yes,OA_low_sugar,acclimation,1,24.0,54,0,13,16,17,16,22,25,0,2,4,7,10,4,7,10,0,0,0,0,0,0,0
26,AR,UBA,high,no,control,acclimation,1,24.0,18,0,7,13,9,13,13,9,0,1,4,4,1,3,2,20,0,0,0,0,0,0,0
27,AR,OTA,low,yes,OA_low_sugar,acclimation,1,24.0,35,0,22,24,18,19,17,12,0,2,6,6,7,8,5,10,0,0,0,0,0,0,0
28,AR,VLO,high,no,control,acclimation,1,24.0,63,0,10,29,19,23,27,18,0,1,3,2,6,6,8,20,0,0,0,0,0,0,0
29,AR,ROS,low,yes,OA_low_sugar,acclimation,1,24.0,59,0,5,10,14,9,6,6,0,1,3,3,3,4,3,50,0,0,0,0,0,0,0
30,AR,OTA,high,no,control,acclimation,1,24.0,27,0,18,35,23,22,14,22,0,2,5,5,5,6,7,20,0,0,0,0,0,0,0
31,AR,UBA,low,yes,OA_low_sugar,acclimation,1,24.0,38,0,26,26,15,18,10,12,0,1,3,4,4,2,3,20,0,0,0,0,0,0,0
32,AR,ROS,high,no,control,acclimation,1,24.0,129,0,3,9,18,20,11,14,0,0,1,4,5,3,3,30,0,0,0,0,0,0,0
1,AR,OTA,low,no,low_sugar,acclimation,2,23.4,47,0,37,30,27,30,15,17,0,4,7,5,7,5,4,10,0,0,0,0,0,0,0
2,AR,VLO,high,yes,OA,acclimation,2,23.4,47,0,7,10,10,6,6,5,0,2,0,3,1,0,0,61,0,0,0,0,0,0,0
3,AR,VLO,low,no,low_sugar,acclimation,2,23.4,69,0,10,16,25,4,13,10,0,2,4,4,1,3,3,10,0,0,0,0,0,0,0
4,AR,UBA,high,yes,OA,acclimation,2,23.4,26,0,3,2,5,0,4,2,0,1,0,0,0,1,0,61,0,0,0,0,0,0,0
5,AR,UBA,low,no,low_sugar,acclimation,2,23.4,34,0,7,11,14,17,8,15,0,2,1,2,4,0,5,40,0,0,0,0,0,0,0
6,AR,ROS,high,yes,OA,acclimation,2,23.4,74,0,11,11,12,10,12,10,0,1,1,2,3,3,2,50,0,0,0,0,0,0,0
7,AR,ROS,low,no,low_sugar,acclimation,2,23.4,59,0,6,12,12,11,15,8,0,2,3,4,3,4,3,20,0,0,0,0,0,0,0
8,AR,OTA,high,yes,OA,acclimation,2,23.4,32,0,17,32,18,25,21,18,0,4,6,4,4,6,5,10,0,0,0,0,0,0,0
9,AR,ROS,low,no,low_sugar,acclimation,2,23.4,50,0,17,18,8,16,16,17,0,5,5,6,5,4,7,10,0,0,0,0,0,0,0
10,AR,OTA,high,yes,OA,acclimation,2,23.4,32,0,40,27,25,33,24,25,0,6,4,5,3,4,6,10,0,0,0,0,0,0,0
11,AR,UBA,low,no,low_sugar,acclimation,2,23.4,33,0,21,24,13,16,12,9,0,4,5,3,3,3,0,20,0,0,0,0,0,0,0
12,AR,ROS,high,yes,OA,acclimation,2,23.4,73,0,9,11,7,8,6,14,0,1,1,3,1,1,5,30,0,0,0,0,0,0,0
13,AR,VLO,low,no,low_sugar,acclimation,2,23.4,27,0,4,12,9,12,17,19,0,3,3,2,4,4,6,50,0,0,0,0,0,0,0
14,AR,UBA,high,yes,OA,acclimation,2,23.4,31,0,17,18,13,15,8,7,0,1,3,2,1,2,0,20,0,0,0,0,0,0,0
15,AR,OTA,low,no,low_sugar,acclimation,2,23.4,31,0,15,17,26,17,19,22,0,1,4,6,4,6,4,20,0,0,0,0,0,0,0
16,AR,VLO,high,yes,OA,acclimation,2,23.4,53,0,14,11,12,11,16,10,0,1,1,2,2,3,2,10,0,0,0,0,0,0,0
17,AR,UBA,low,yes,OA_low_sugar,acclimation,2,23.4,16,0,3,21,21,5,13,11,0,0,4,5,1,5,5,30,0,0,0,0,0,0,0
18,AR,ROS,high,no,control,acclimation,2,23.4,99,0,2,10,11,6,10,9,0,0,0,4,2,1,2,61,0,0,0,0,0,0,0
19,AR,ROS,low,yes,OA_low_sugar,acclimation,2,23.4,65,0,3,7,8,2,10,4,0,1,3,1,1,3,3,61,0,0,0,0,0,0,0
20,AR,OTA,high,no,control,acclimation,2,23.4,30,0,2,14,18,19,19,23,0,0,2,5,2,6,3,20,0,0,0,0,0,0,0
21,AR,OTA,low,yes,OA_low_sugar,acclimation,2,23.4,43,0,19,24,29,24,13,26,0,3,5,5,6,3,7,20,0,0,0,0,0,0,0
22,AR,VLO,high,no,control,acclimation,2,23.4,39,0,5,12,19,19,23,19,0,0,0,0,3,5,6,50,0,0,0,0,0,0,0
23,AR,VLO,low,yes,OA_low_sugar,acclimation,2,23.4,43,0,1,9,11,3,6,8,0,1,3,2,0,1,3,10,0,0,0,0,0,0,0
24,AR,UBA,high,no,control,acclimation,2,23.4,36,0,4,17,12,11,7,8,0,0,1,2,1,1,3,61,0,0,0,0,0,0,0
25,AR,VLO,low,yes,OA_low_sugar,acclimation,2,23.4,38,0,1,5,15,21,12,11,0,0,2,3,4,1,4,20,0,0,0,0,0,0,0
26,AR,UBA,high,no,control,acclimation,2,23.4,21,0,2,14,10,16,13,10,0,0,1,1,4,3,1,20,0,0,0,0,0,0,0
27,AR,OTA,low,yes,OA_low_sugar,acclimation,2,23.4,45,0,35,29,19,22,25,18,0,4,5,5,7,3,6,20,0,0,0,0,0,0,0
28,AR,VLO,high,no,control,acclimation,2,23.4,52,0,12,22,31,38,15,14,0,2,3,4,6,2,4,10,0,0,0,0,0,0,0
29,AR,ROS,low,yes,OA_low_sugar,acclimation,2,23.4,66,0,4,7,12,6,5,8,0,0,1,2,2,2,1,30,0,0,0,0,0,0,0
30,AR,OTA,high,no,control,acclimation,2,23.4,28,0,15,22,24,30,17,23,0,2,1,4,4,4,4,10,0,0,0,0,0,0,0
31,AR,UBA,low,yes,OA_low_sugar,acclimation,2,23.4,17,0,3,10,19,22,11,11,0,0,0,0,2,3,4,50,0,0,0,0,0,0,0
32,AR,ROS,high,no,control,acclimation,2,23.4,117,0,7,12,8,12,13,9,0,0,1,1,3,4,1,40,0,0,0,0,0,0,0
1,AR,OTA,low,no,low_sugar,acclimation,3,23.8,48,0,12,26,24,26,17,15,0,5,3,5,4,6,5,10,0,0,0,0,0,0,0
2,AR,VLO,high,yes,OA,acclimation,3,23.8,52,0,1,4,3,2,1,2,0,0,1,2,1,0,1,61,0,0,0,0,0,0,0
3,AR,VLO,low,no,low_sugar,acclimation,3,23.8,58,0,5,6,5,4,2,2,0,1,3,3,2,0,1,20,0,0,0,0,0,0,0
4,AR,UBA,high,yes,OA,acclimation,3,23.8,20,0,1,2,3,3,6,10,0,0,0,1,0,0,1,30,0,0,0,0,0,0,0
5,AR,UBA,low,no,low_sugar,acclimation,3,23.8,28,0,2,3,3,8,1,5,0,0,0,0,2,0,3,60,0,0,0,0,0,0,0
6,AR,ROS,high,yes,OA,acclimation,3,23.8,79,0,4,8,17,13,8,10,0,1,0,3,3,3,3,40,0,0,0,0,0,0,0
7,AR,ROS,low,no,low_sugar,acclimation,3,23.8,51,0,4,5,4,3,5,4,0,2,2,2,1,1,3,10,0,0,0,0,0,0,0
8,AR,OTA,high,yes,OA,acclimation,3,23.8,30,0,1,7,1,8,7,6,0,0,0,1,1,3,2,60,0,0,0,0,0,0,0
9,AR,ROS,low,no,low_sugar,acclimation,3,23.8,30,0,1,5,6,7,2,8,0,1,2,3,3,1,1,61,0,0,0,0,0,0,0
10,AR,OTA,high,yes,OA,acclimation,3,23.8,33,0,7,13,15,14,4,8,0,5,3,3,1,2,2,10,0,0,0,0,0,0,0
11,AR,UBA,low,no,low_sugar,acclimation,3,23.8,23,0,2,5,8,10,3,8,0,0,0,2,0,1,1,30,0,0,0,0,0,0,0
12,AR,ROS,high,yes,OA,acclimation,3,23.8,72,0,1,16,10,16,12,10,0,0,2,2,1,1,1,20,0,0,0,0,0,0,0
13,AR,VLO,low,no,low_sugar,acclimation,3,23.8,25,0,6,4,4,4,4,6,0,1,1,1,1,1,1,40,0,0,0,0,0,0,0
14,AR,UBA,high,yes,OA,acclimation,3,23.8,32,0,0,3,3,5,1,1,0,0,0,0,0,1,0,61,0,0,0,0,0,0,0
15,AR,OTA,low,no,low_sugar,acclimation,3,23.8,28,0,3,15,27,16,17,17,0,1,2,5,5,6,4,20,0,0,0,0,0,0,0
16,AR,VLO,high,yes,OA,acclimation,3,23.8,50,0,3,7,10,3,8,7,0,0,1,2,2,2,3,30,0,0,0,0,0,0,0
17,AR,UBA,low,yes,OA_low_sugar,acclimation,3,23.8,17,0,2,5,8,4,4,2,0,1,3,2,2,0,0,20,0,0,0,0,0,0,0
18,AR,ROS,high,no,control,acclimation,3,23.8,81,0,4,10,8,9,15,9,0,0,3,4,2,5,2,20,0,0,0,0,0,0,0
19,AR,ROS,low,yes,OA_low_sugar,acclimation,3,23.8,56,0,2,4,4,1,3,5,0,1,2,2,1,1,1,20,0,0,0,0,0,0,0
20,AR,OTA,high,no,control,acclimation,3,23.8,31,0,12,3,16,7,5,7,0,2,0,3,4,2,3,10,0,0,0,0,0,0,0
21,AR,OTA,low,yes,OA_low_sugar,acclimation,3,23.8,37,0,4,14,13,14,17,14,0,0,5,3,3,2,4,20,0,0,0,0,0,0,0
22,AR,VLO,high,no,control,acclimation,3,23.8,40,0,1,3,4,2,8,3,0,1,2,2,1,1,0,20,0,0,0,0,0,0,0
23,AR,VLO,low,yes,OA_low_sugar,acclimation,3,23.8,40,0,4,1,5,1,0,3,0,2,0,3,1,0,1,10,0,0,0,0,0,0,0
24,AR,UBA,high,no,control,acclimation,3,23.8,32,0,2,2,3,8,7,5,0,1,0,2,1,2,0,50,0,0,0,0,0,0,0
25,AR,VLO,low,yes,OA_low_sugar,acclimation,3,23.8,45,0,9,8,8,7,11,6,0,1,3,4,1,4,1,10,0,0,0,0,0,0,0
26,AR,UBA,high,no,control,acclimation,3,23.8,28,0,1,7,3,4,9,3,0,0,0,0,0,3,0,50,0,0,0,0,0,0,0
27,AR,OTA,low,yes,OA_low_sugar,acclimation,3,23.8,35,0,7,15,15,12,20,9,0,2,1,0,5,5,3,40,0,0,0,0,0,0,0
28,AR,VLO,high,no,control,acclimation,3,23.8,65,0,6,11,4,12,9,5,0,0,1,2,2,2,1,20,0,0,0,0,0,0,0
29,AR,ROS,low,yes,OA_low_sugar,acclimation,3,23.8,70,0,1,2,5,7,12,11,0,1,1,2,3,2,2,30,0,0,0,0,0,0,0
30,AR,OTA,high,no,control,acclimation,3,23.8,27,0,12,17,17,12,8,17,0,3,3,3,2,3,4,10,0,0,0,0,0,0,0
31,AR,UBA,low,yes,OA_low_sugar,acclimation,3,23.8,19,0,0,1,8,4,12,7,0,0,0,1,1,3,4,50,0,0,0,0,0,0,0
32,AR,ROS,high,no,control,acclimation,3,23.8,171,0,7,12,6,13,8,9,0,2,1,1,6,4,3,40,0,0,0,0,0,0,0
1,AR,OTA,low,no,low_sugar,acclimation,4,23.9,48,0,6,24,15,24,18,21,0,2,3,3,4,7,6,30,0,0,0,0,0,0,0
2,AR,VLO,high,yes,OA,acclimation,4,23.9,23,0,2,3,3,4,6,7,0,0,0,1,0,1,2,61,0,0,0,0,0,0,0
3,AR,VLO,low,no,low_sugar,acclimation,4,23.9,52,0,1,4,2,12,3,2,0,0,0,0,5,0,0,40,0,0,0,0,0,0,0
4,AR,UBA,high,yes,OA,acclimation,4,23.9,16,0,1,0,4,8,5,2,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0
5,AR,UBA,low,no,low_sugar,acclimation,4,23.9,42,0,3,8,13,10,8,6,0,0,2,4,3,3,1,30,0,0,0,0,0,0,0
6,AR,ROS,high,yes,OA,acclimation,4,23.9,79,0,21,26,29,25,28,16,0,1,3,3,3,5,3,20,0,0,0,0,0,0,0
7,AR,ROS,low,no,low_sugar,acclimation,4,23.9,56,0,6,12,9,14,12,15,0,2,5,0,4,5,4,40,0,0,0,0,0,0,0
8,AR,OTA,high,yes,OA,acclimation,4,23.9,41,0,7,9,10,17,11,15,0,1,4,5,4,4,3,20,0,0,0,0,0,0,0
9,AR,ROS,low,no,low_sugar,acclimation,4,23.9,59,0,3,9,9,12,11,22,0,1,2,1,2,5,7,40,0,0,0,0,0,0,0
10,AR,OTA,high,yes,OA,acclimation,4,23.9,43,0,16,14,13,14,14,12,0,4,2,3,4,5,2,10,0,0,0,0,0,0,0
11,AR,UBA,low,no,low_sugar,acclimation,4,23.9,29,0,4,13,16,9,10,9,0,0,3,3,2,2,1,40,0,0,0,0,0,0,0
