subcolony,region,site,sugar,octopamine,treatment,phase,day,temperature,initial_for,n_0,n_10,n_20,n_30,n_40,n_50,n_60,cov_0,cov_10,cov_20,cov_30,cov_40,cov_50,cov_60,time_top,sug_0,sug_10,sug_20,sug_30,sug_40,sug_50,sug_60
1,CA,BLB,low,yes,OA_low_sugar,acclimation,1,24.3,59,0,4,14,28,24,29,15,0,0,2,4,1,5,2,20,0,0,0,0,0,0,0
2,CA,CAL,high,no,control,acclimation,1,24.3,18,0,1,8,16,18,18,11,0,0,3,2,1,4,4,20,0,0,0,0,0,0,0
3,CA,OAK,high,yes,OA,acclimation,1,24.3,49,0,18,32,60,70,65,62,0,1,4,8,7,7,8,10,0,0,0,0,0,0,0
4,CA,BLB,high,no,control,acclimation,1,24.3,27,0,12,54,34,32,30,30,0,1,2,3,1,4,2,10,0,0,0,0,0,0,0
5,CA,RCH,high,yes,OA,acclimation,1,24.3,7,0,6,13,22,22,24,26,0,0,1,1,4,6,6,20,0,0,0,0,0,0,0
6,CA,OAK,low,yes,OA_low_sugar,acclimation,1,24.3,25,0,0,12,29,30,58,30,0,0,1,3,2,7,3,30,0,0,0,0,0,0,0
7,CA,RCH,high,no,control,acclimation,1,24.3,31,0,0,24,30,15,23,23,0,0,3,2,2,4,3,20,0,0,0,0,0,0,0
8,CA,BLB,high,yes,OA,acclimation,1,24.3,53,0,5,9,17,11,25,26,0,1,2,4,3,7,7,10,0,0,0,0,0,0,0
9,CA,RCH,high,no,control,acclimation,1,24.3,21,0,5,35,38,35,27,30,0,0,4,4,5,4,5,20,0,0,0,0,0,0,0
10,CA,OAK,high,yes,OA,acclimation,1,24.3,46,0,12,63,60,69,56,54,0,2,6,7,7,9,9,10,0,0,0,0,0,0,0
11,CA,CAL,low,yes,OA_low_sugar,acclimation,1,24.3,13,0,0,7,14,13,15,17,0,0,2,2,2,4,5,20,0,0,0,0,0,0,0
12,CA,RCH,low,no,low_sugar,acclimation,1,24.3,32,0,6,39,41,32,41,29,0,1,6,7,6,8,7,10,0,0,0,0,0,0,0
13,CA,BLB,high,no,control,acclimation,1,24.3,61,0,10,37,50,42,41,25,0,3,6,7,9,7,8,20,0,0,0,0,0,0,0
14,CA,CAL,low,no,low_sugar,acclimation,1,24.3,18,0,0,5,11,12,9,11,0,0,2,3,2,2,2,30,0,0,0,0,0,0,0
15,CA,BLB,low,yes,OA_low_sugar,acclimation,1,24.3,40,0,9,26,38,36,34,15,0,0,4,3,6,5,5,20,0,0,0,0,0,0,0
16,CA,CAL,high,no,control,acclimation,1,24.3,22,0,1,10,8,10,11,6,0,0,1,2,1,1,2,20,0,0,0,0,0,0,0
17,CA,OAK,low,no,low_sugar,acclimation,1,24.3,36,0,15,38,68,65,45,49,0,3,5,8,7,10,4,20,0,0,0,0,0,0,0
18,CA,BLB,low,no,low_sugar,acclimation,1,24.3,43,0,22,30,50,40,42,35,0,1,3,4,5,9,6,10,0,0,0,0,0,0,0
19,CA,RCH,low,yes,OA_low_sugar,acclimation,1,24.3,20,0,12,32,43,39,22,24,0,2,5,8,10,7,7,10,0,0,0,0,0,0,0
20,CA,CAL,low,no,low_sugar,acclimation,1,24.3,17,0,15,16,11,18,7,10,0,1,1,3,3,2,2,10,0,0,0,0,0,0,0
21,CA,OAK,high,no,control,acclimation,1,24.3,32,0,7,30,40,36,41,32,0,2,4,4,6,6,5,10,0,0,0,0,0,0,0
