subcolony,region,site,sugar,octopamine,treatment,phase,day,temperature,initial_for,n_0,n_10,n_20,n_30,n_40,n_50,n_60,cov_0,cov_10,cov_20,cov_30,cov_40,cov_50,cov_60,time_top,sug_0,sug_10,sug_20,sug_30,sug_40,sug_50,sug_60
1,NZ,HAS,high,no,control,acclimation,1,23.0,32,0,6,20,28,36,46,52,0,1,2,3,4,6,9,20,0,0,0,0,0,0,0
2,NZ,PET,low,no,low_sugar,acclimation,1,23.0,28,0,4,16,25,30,35,20,0,0,2,6,6,6,3,20,0,0,0,0,0,0,0
3,NZ,PAR,high,yes,OA,acclimation,1,23.0,97,0,15,45,73,76,77,58,0,2,8,9,9,10,9,10,0,0,0,0,0,0,0
4,NZ,TAR,low,yes,OA_low_sugar,acclimation,1,23.0,56,0,12,43,72,61,55,59,0,3,6,7,7,10,8,10,0,0,0,0,0,0,0
5,NZ,PET,high,no,control,acclimation,1,23.0,17,0,9,31,51,47,43,23,0,0,4,6,6,7,5,20,0,0,0,0,0,0,0
6,NZ,PAR,low,no,low_sugar,acclimation,1,23.0,77,0,36,51,60,79,98,87,0,4,6,10,8,10,11,20,0,0,0,0,0,0,0
7,NZ,TAR,high,yes,OA,acclimation,1,23.0,40,0,15,31,44,46,48,37,0,2,4,6,6,10,6,50,0,0,0,0,0,0,0
8,NZ,HAS,low,yes,OA_low_sugar,acclimation,1,23.0,31,0,9,34,68,60,53,55,0,2,6,10,9,10,8,10,0,0,0,0,0,0,0
9,NZ,PAR,high,no,control,acclimation,1,23.0,66,0,19,32,54,78,95,86,0,3,5,9,9,11,11,20,0,0,0,0,0,0,0
10,NZ,TAR,low,no,low_sugar,acclimation,1,23.0,20,0,14,41,60,51,46,35,0,3,4,8,9,10,9,10,0,0,0,0,0,0,0
11,NZ,PET,high,yes,OA,acclimation,1,23.0,48,0,11,40,71,76,78,50,0,1,6,8,8,7,9,20,0,0,0,0,0,0,0
12,NZ,HAS,low,yes,OA_low_sugar,acclimation,1,23.0,21,0,7,10,16,24,32,35,0,3,3,7,5,6,9,20,0,0,0,0,0,0,0
13,NZ,TAR,high,no,control,acclimation,1,23.0,19,0,9,17,24,30,36,25,0,2,3,6,6,7,8,10,0,0,0,0,0,0,0
14,NZ,HAS,low,no,low_sugar,acclimation,1,23.0,14,0,7,22,36,41,45,31,0,2,4,8,6,6,6,10,0,0,0,0,0,0,0
15,NZ,HAS,high,yes,OA,acclimation,1,23.0,22,0,13,28,44,45,43,56,0,2,3,6,7,9,6,10,0,0,0,0,0,0,0
16,NZ,PET,low,yes,OA_low_sugar,acclimation,1,23.0,49,0,19,24,30,29,27,31,0,4,4,8,5,4,10,10,0,0,0,0,0,0,0
17,NZ,PAR,high,no,control,acclimation,1,23.0,84,0,27,41,46,50,48,44,0,4,5,5,9,7,7,10,0,0,0,0,0,0,0
18,NZ,PET,low,no,low_sugar,acclimation,1,23.0,18,0,21,24,25,26,24,23,0,3,2,3,3,2,5,10,0,0,0,0,0,0,0
19,NZ,HAS,high,yes,OA,acclimation,1,23.0,26,0,10,31,36,38,36,36,0,0,4,5,8,7,8,20,0,0,0,0,0,0,0
20,NZ,PAR,low,yes,OA_low_sugar,acclimation,1,23.0,75,0,64,85,83,81,86,90,0,8,10,9,11,10,10,10,0,0,0,0,0,0,0
21,NZ,PET,high,no,control,acclimation,1,23.0,32,0,22,33,34,36,35,38,0,4,2,3,5,4,7,10,0,0,0,0,0,0,0
22,NZ,TAR,low,no,low_sugar,acclimation,1,23.0,44,0,36,46,49,53,46,38,0,5,6,6,9,6,11,20,0,0,0,0,0,0,0
23,NZ,TAR,low,yes,OA_low_sugar,acclimation,1,23.0,40,0,27,25,31,46,39,35,0,3,3,7,10,7,7,10,0,0,0,0,0,0,0
24,NZ,PAR,high,yes,OA,acclimation,1,23.0,65,0,67,56,59,65,61,57,0,5,5,6,8,8,8,10,0,0,0,0,0,0,0
25,NZ,HAS,low,no,low_sugar,acclimation,1,23.0,37,0,22,12,23,30,30,30,0,3,2,2,5,4,3,20,0,0,0,0,0,0,0
26,NZ,TAR,high,no,control,acclimation,1,23.0,51,0,23,17,19,21,18,15,0,4,2,2,2,2,3,10,0,0,0,0,0,0,0
27,NZ,PET,low,yes,OA_low_sugar,acclimation,1,23.0,23,0,36,32,41,53,51,47,0,3,3,3,4,5,5,10,0,0,0,0,0,0,0
28,NZ,TAR,high,yes,OA,acclimation,1,23.0,34,0,38,43,41,38,32,29,0,2,3,3,5,4,7,10,0,0,0,0,0,0,0
29,NZ,PAR,low,no,low_sugar,acclimation,1,23.0,62,0,64,48,45,43,49,58,0,4,3,5,7,5,8,10,0,0,0,0,0,0,0
30,NZ,HAS,high,no,control,acclimation,1,23.0,34,0,29,38,40,41,38,35,0,4,4,4,5,4,6,10,0,0,0,0,0,0,0
31,NZ,PAR,low,yes,OA_low_sugar,acclimation,1,23.0,35,0,62,68,49,34,39,44,0,2,2,6,7,7,9,10,0,0,0,0,0,0,0
32,NZ,PET,high,yes,OA,acclimation,1,23.0,47,0,52,58,53,48,51,55,0,2,5,4,7,6,4,20,0,0,0,0,0,0,0
1,NZ,HAS,high,no,control,acclimation,2,23.6,36,0,13,20,26,17,31,24,0,1,5,5,4,6,3,20,0,0,0,0,0,0,0
2,NZ,PET,low,no,low_sugar,acclimation,2,23.6,22,0,2,2,6,8,12,12,0,0,2,0,1,1,4,60,0,0,0,0,0,0,0
3,NZ,PAR,high,yes,OA,acclimation,2,23.6,98,0,30,51,48,47,33,36,0,3,5,7,10,6,9,20,0,0,0,0,0,0,0
4,NZ,TAR,low,yes,OA_low_sugar,acclimation,2,23.6,75,0,22,33,41,41,36,29,0,6,6,10,6,7,7,10,0,0,0,0,0,0,0
5,NZ,PET,high,no,control,acclimation,2,23.6,29,0,6,19,17,16,14,18,0,1,4,2,3,4,5,20,0,0,0,0,0,0,0
6,NZ,PAR,low,no,low_sugar,acclimation,2,23.6,108,0,24,31,35,28,36,38,0,3,7,2,3,3,5,10,0,0,0,0,0,0,0
7,NZ,TAR,high,yes,OA,acclimation,2,23.6,33,0,28,22,21,17,14,7,0,5,3,4,4,3,2,10,0,0,0,0,0,0,0
8,NZ,HAS,low,yes,OA_low_sugar,acclimation,2,23.6,41,0,9,19,18,15,8,12,0,3,4,4,5,2,3,20,0,0,0,0,0,0,0
9,NZ,PAR,high,no,control,acclimation,2,23.6,50,0,25,17,33,34,20,20,0,3,3,5,8,8,6,10,0,0,0,0,0,0,0
10,NZ,TAR,low,no,low_sugar,acclimation,2,23.6,25,0,13,25,32,21,27,26,0,2,2,3,5,8,7,10,0,0,0,0,0,0,0
11,NZ,PET,high,yes,OA,acclimation,2,23.6,50,0,14,24,18,14,21,12,0,1,3,4,2,4,1,10,0,0,0,0,0,0,0
12,NZ,HAS,low,yes,OA_low_sugar,acclimation,2,23.6,27,0,10,9,9,10,8,7,0,1,2,2,3,2,1,20,0,0,0,0,0,0,0
13,NZ,TAR,high,no,control,acclimation,2,23.6,38,0,10,10,20,21,13,15,0,2,3,4,2,1,3,20,0,0,0,0,0,0,0
14,NZ,HAS,low,no,low_sugar,acclimation,2,23.6,29,0,12,13,15,13,14,21,0,0,2,2,5,2,5,20,0,0,0,0,0,0,0
15,NZ,HAS,high,yes,OA,acclimation,2,23.6,49,0,11,26,19,9,12,8,0,2,2,1,2,0,1,20,0,0,0,0,0,0,0
16,NZ,PET,low,yes,OA_low_sugar,acclimation,2,23.6,48,0,10,10,8,11,13,12,0,2,1,1,3,2,1,10,0,0,0,0,0,0,0
17,NZ,PAR,high,no,control,acclimation,2,23.6,76,0,16,25,19,23,19,23,0,1,2,6,3,5,5,10,0,0,0,0,0,0,0
18,NZ,PET,low,no,low_sugar,acclimation,2,23.6,29,0,12,8,6,6,10,9,0,2,3,2,1,4,1,20,0,0,0,0,0,0,0
19,NZ,HAS,high,yes,OA,acclimation,2,23.6,18,0,9,23,23,15,17,20,0,1,4,3,4,4,6,10,0,0,0,0,0,0,0
20,NZ,PAR,low,yes,OA_low_sugar,acclimation,2,23.6,111,0,46,70,48,59,46,34,0,8,6,7,7,6,7,10,0,0,0,0,0,0,0
21,NZ,PET,high,no,control,acclimation,2,23.6,41,0,11,19,22,21,19,14,0,3,2,4,4,3,3,10,0,0,0,0,0,0,0
22,NZ,TAR,low,no,low_sugar,acclimation,2,23.6,39,0,5,14,19,25,23,25,0,0,3,1,9,5,6,20,0,0,0,0,0,0,0
23,NZ,TAR,low,yes,OA_low_sugar,acclimation,2,23.6,57,0,12,13,16,23,14,6,0,4,6,2,3,3,2,10,0,0,0,0,0,0,0
