subcolony,region,site,sugar,octopamine,treatment,phase,day,temperature,initial_for,n_0,n_10,n_20,n_30,n_40,n_50,n_60,cov_0,cov_10,cov_20,cov_30,cov_40,cov_50,cov_60,time_top,sug_0,sug_10,sug_20,sug_30,sug_40,sug_50,sug_60
1,AU,STA,high,no,control,acclimation,1,23.5,12,0,1,6,14,11,13,14,0,0,1,1,3,2,1,20,0,0,0,0,0,0,0
2,AU,PHI,low,no,low_sugar,acclimation,1,23.5,18,0,3,9,8,17,22,25,0,0,3,2,2,3,5,20,0,0,0,0,0,0,0
3,AU,MON,low,no,low_sugar,acclimation,1,23.5,7,0,0,5,7,7,9,11,0,0,2,1,2,2,4,20,0,0,0,0,0,0,0
4,AU,STA,high,yes,OA,acclimation,1,23.5,28,0,0,16,15,30,34,16,0,0,3,1,4,6,3,30,0,0,0,0,0,0,0
5,AU,PHI,high,yes,OA,acclimation,1,23.5,15,0,3,4,8,9,21,13,0,1,0,1,1,2,2,10,0,0,0,0,0,0,0
6,AU,STA,low,yes,OA_low_sugar,acclimation,1,23.5,14,0,0,6,16,19,18,20,0,0,1,2,2,2,3,20,0,0,0,0,0,0,0
7,AU,PHI,low,yes,OA_low_sugar,acclimation,1,23.5,16,0,4,10,26,23,23,22,0,0,2,3,6,6,2,20,0,0,0,0,0,0,0
8,AU,CLI,high,no,control,acclimation,1,23.5,12,0,0,1,2,1,2,2,0,0,0,0,0,1,1,61,0,0,0,0,0,0,0
9,AU,PHI,low,yes,OA_low_sugar,acclimation,1,23.5,24,0,4,9,13,12,21,18,0,1,3,2,3,3,2,20,0,0,0,0,0,0,0
10,AU,PHI,high,no,control,acclimation,1,23.5,30,0,8,18,23,30,35,24,0,2,2,5,5,6,5,10,0,0,0,0,0,0,0
11,AU,MON,high,no,control,acclimation,1,23.5,14,0,1,5,12,17,16,18,0,0,1,3,4,3,4,20,0,0,0,0,0,0,0
12,AU,STA,low,no,low_sugar,acclimation,1,23.5,33,0,2,4,4,10,8,9,0,1,2,1,4,2,3,20,0,0,0,0,0,0,0
13,AU,CLI,low,no,low_sugar,acclimation,1,23.5,16,0,0,2,7,4,8,8,0,0,0,2,1,1,0,30,0,0,0,0,0,0,0
14,AU,MON,high,yes,OA,acclimation,1,23.5,8,0,0,1,1,1,3,1,0,0,1,0,0,2,1,20,0,0,0,0,0,0,0
15,AU,CLI,high,yes,OA,acclimation,1,23.5,32,0,2,19,17,15,11,9,0,1,3,2,3,3,3,20,0,0,0,0,0,0,0
16,AU,MON,low,yes,OA_low_sugar,acclimation,1,23.5,15,0,1,0,6,15,16,10,0,0,0,0,3,2,2,40,0,0,0,0,0,0,0
17,AU,MON,low,yes,OA_low_sugar,acclimation,1,23.5,9,0,1,9,10,11,20,16,0,0,4,3,3,3,2,20,0,0,0,0,0,0,0
18,AU,CLI,high,yes,OA,acclimation,1,23.5,10,0,0,4,3,6,7,4,0,0,1,0,0,1,1,61,0,0,0,0,0,0,0
19,AU,PHI,high,no,control,acclimation,1,23.5,10,0,3,5,18,18,15,14,0,1,0,1,4,1,2,30,0,0,0,0,0,0,0
20,AU,CLI,low,yes,OA_low_sugar,acclimation,1,23.5,1,0,1,3,2,2,0,0,0,0,0,1,0,0,0,61,0,0,0,0,0,0,0
21,AU,CLI,low,no,low_sugar,acclimation,1,23.5,16,0,3,7,13,13,8,21,0,0,1,2,3,2,1,30,0,0,0,0,0,0,0
22,AU,MON,high,no,control,acclimation,1,23.5,8,0,1,9,15,17,18,10,0,1,2,0,2,2,1,50,0,0,0,0,0,0,0
23,AU,MON,high,yes,OA,acclimation,1,23.5,18,0,1,2,11,17,14,15,0,1,0,1,1,2,2,10,0,0,0,0,0,0,0
24,AU,STA,low,no,low_sugar,acclimation,1,23.5,24,0,3,6,18,23,19,16,0,0,0,2,2,2,2,30,0,0,0,0,0,0,0
25,AU,PHI,high,yes,OA,acclimation,1,23.5,20,0,0,1,12,16,16,16,0,0,0,2,2,3,3,30,0,0,0,0,0,0,0
26,AU,MON,low,no,low_sugar,acclimation,1,23.5,9,0,0,10,12,14,10,9,0,0,1,4,3,4,1,30,0,0,0,0,0,0,0
27,AU,STA,low,yes,OA_low_sugar,acclimation,1,23.5,28,0,2,11,25,29,28,25,0,1,3,3,6,6,7,30,0,0,0,0,0,0,0
28,AU,STA,high,yes,OA,acclimation,1,23.5,11,0,0,8,7,16,17,12,0,0,3,2,6,4,2,30,0,0,0,0,0,0,0
29,AU,CLI,low,yes,OA_low_sugar,acclimation,1,23.5,19,0,5,6,7,12,10,6,0,1,4,4,2,2,0,20,0,0,0,0,0,0,0
30,AU,CLI,high,no,control,acclimation,1,23.5,17,0,4,7,10,14,6,10,0,2,1,1,0,3,2,61,0,0,0,0,0,0,0
31,AU,PHI,low,no,low_sugar,acclimation,1,23.5,45,0,5,12,21,32,37,22,0,2,1,3,7,7,3,20,0,0,0,0,0,0,0
32,AU,STA,high,no,control,acclimation,1,23.5,14,0,0,10,16,8,8,10,0,0,2,2,1,2,1,30,0,0,0,0,0,0,0
1,AU,STA,high,no,control,acclimation,2,23.7,21,0,4,13,11,10,13,6,0,2,2,3,1,3,1,10,0,0,0,0,0,0,0
2,AU,PHI,low,no,low_sugar,acclimation,2,23.7,25,0,13,19,24,17,18,18,0,2,6,4,4,3,4,10,0,0,0,0,0,0,0
3,AU,MON,low,no,low_sugar,acclimation,2,23.7,9,0,0,8,4,4,3,8,0,0,0,2,1,1,1,30,0,0,0,0,0,0,0
4,AU,STA,high,yes,OA,acclimation,2,23.7,19,0,3,22,22,28,23,26,0,2,1,6,3,4,6,20,0,0,0,0,0,0,0
5,AU,PHI,high,yes,OA,acclimation,2,23.7,13,0,4,7,7,12,19,15,0,0,2,1,2,4,3,40,0,0,0,0,0,0,0
6,AU,STA,low,yes,OA_low_sugar,acclimation,2,23.7,21,0,2,6,11,7,13,16,0,0,1,2,2,3,2,40,0,0,0,0,0,0,0
